text	is_joke	clean_text	lemmas
Студент: это сила, которую развивает лошадь ростом 1 м и массой 1 кг! профессор: а где вы видели такую лошадь? студент: а ее никто не видел! она хранится в париже в палате мер и весов.	0	студент это сила которую развивает лошадь ростом м и массой кг профессор а где вы видели такую лошадь студент а ее никто не видел она хранится в париже в палате мер и весов	студент это сила которую развивать лошадь рост м масса кг профессор видеть такой лошадь студент никто видеть храниться париже палата мера вес
"Московские новости Все новости | Комментарии к новости [13-05-2007 17:59] На месте падения Тунгусского метеорита найден ""черный ящик"" корабля пришельцев?"	0	московские новости все новости комментарии к новости на месте падения тунгусского метеорита найден черный ящик корабля пришельцев	московский новость новость комментарий новость место падение тунгусский метеорит найти чёрный ящик корабль пришелец
Какие трусы лучше и почему? Семейные, боксеры или плавки?	0	какие трусы лучше и почему семейные боксеры или плавки	какой трус почему семейный боксёр плавка
Устроить отставку. Удалиться в политику. Банкет патриота.	0	устроить отставку удалиться в политику банкет патриота	устроить отставка удалиться политик банкет патриот
Читала вслух мужу)))))))))))))) оба ухохотались)))))))))))))) у меня дома живут два хорика)))))))))))))0 и я сразуже перевела стрелки на них))))))))))	0	читала вслух мужу оба ухохотались у меня дома живут два хорика и я сразуже перевела стрелки на них	читать вслух муж оба ухохотались дома жить хорика сразуже перевести стрелка
Для фригидных - причин никаких нет. они просто фригидные.	0	для фригидных причин никаких нет они просто фригидные	фригидный причина никакой просто фригидный
Мне кажется его заслуги в том, что мы попали на евро перекрывают то, чего сумел за год работыдобится Гусь.	0	мне кажется его заслуги в том что мы попали на евро перекрывают то чего сумел за год работыдобится гусь	казаться заслуга попасть евро перекрывать суметь год работыдобится гусь
Я просто прихожу, хреначу и ухожу. молча. так, здороваюсь, с постоянными. за сим и всё.	0	я просто прихожу хреначу и ухожу молча так здороваюсь с постоянными за сим и всё	просто приходить хреначу ухожу молча здороваться постоянный сима всё
А в Турции уголовная ответственность за признание геноцида армян.	0	а в турции уголовная ответственность за признание геноцида армян	турция уголовный ответственность признание геноцид армянин
сердцем ничего не возьмешь	0	сердцем ничего не возьмешь	сердце возьмешь
Ну если б это Тутанхамон какой был, тогда да, простая себе мумия. А тут целый Ленин Его вот еще закопают скоро и вообще не увидите.	0	ну если б это тутанхамон какой был тогда да простая себе мумия а тут целый ленин его вот еще закопают скоро и вообще не увидите	б это тутанхамон простой мумия целый ленин закопают скоро вообще увидеть
"Самовнушение.... Сколько ни говори ""халва""... ""халва"" ..."	0	самовнушение сколько ни говори халва халва	самовнушение сколько говори халва халва
Вы полагаете, нам придётся войти в озеро?	0	вы полагаете нам придётся войти в озеро	полагать нам придётся войти озеро
Гарри с начала учебного года не получил ни одного письма; единственный человек, регулярно ему писавший, умер.	0	гарри с начала учебного года не получил ни одного письма единственный человек регулярно ему писавший умер	гарри начало учебный год получить одного письмо единственный человек регулярно писавший умереть
От пыли потемнели усердные пальцы с ястребиными когтями.	0	от пыли потемнели усердные пальцы с ястребиными когтями	пыли потемнеть усердный палец ястребиный когтями
Вер ты чего завелась последнее время?! все гуд никого не слушай!	0	вер ты чего завелась последнее время все гуд никого не слушай	вер завестись последний время гуд никто слушай
После ДТП с автобусом в Тверской области возбудили уголовное дело	0	после дтп с автобусом в тверской области возбудили уголовное дело	дтп автобус тверской область возбудить уголовный дело
Выходит ли российская экономика из кризиса, будет ли рост реальных доходов и ВВП в 2017 году?	0	выходит ли российская экономика из кризиса будет ли рост реальных доходов и ввп в году	выходить российский экономика кризис рост реальный доход ввп год
не над горстью плачут а над пригоршней	0	не над горстью плачут а над пригоршней	горсть плакать пригоршней
правители подобны змеям они обладают и ядом и лекарством	0	правители подобны змеям они обладают и ядом и лекарством	правитель подобный змей обладать яд лекарство
